Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
5,1657875827,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
6,1657875828,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
7,1657875829,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
8,1657875830,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
9,1657875831,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
10,1657875832,T17,-85,-68,-110,-85,-110,-94,-110,-93,-89,-96,-110,-110
11,1657875833,T17,-83,-62,-110,-85,-82,-110,-110,-110,-110,-94,-110,-110
12,1657875834,T17,-83,-62,-110,-85,-82,-110,-110,-110,-110,-94,-110,-110
13,1657875835,T17,-83,-62,-110,-85,-82,-110,-110,-110,-110,-94,-110,-110
14,1657875836,T17,-83,-62,-110,-85,-82,-110,-110,-110,-110,-94,-110,-110
15,1657875837,T17,-83,-62,-110,-85,-82,-110,-110,-110,-110,-94,-110,-110
16,1657875838,T17,-83,-62,-110,-85,-82,-110,-110,-110,-110,-94,-110,-110
17,1657875839,T17,-83,-62,-110,-85,-82,-110,-110,-110,-110,-94,-110,-110
0,1657875865,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
1,1657875866,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
2,1657875867,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
3,1657875869,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
4,1657875871,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
5,1657875873,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
6,1657875874,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
7,1657875875,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
8,1657875877,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
9,1657875878,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
10,1657875879,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
11,1657875880,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
12,1657875881,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
13,1657875882,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
14,1657875883,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
15,1657875884,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
16,1657875885,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
17,1657875886,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
18,1657875887,T18,-82,-65,-110,-110,-84,-94,-79,-110,-79,-96,-110,-110
