Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
1,1657875143,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
2,1657875144,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
3,1657875145,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
4,1657875146,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
5,1657875147,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
6,1657875148,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
7,1657875149,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
8,1657875150,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
9,1657875151,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
10,1657875152,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
11,1657875153,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
12,1657875154,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
13,1657875155,T4,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
0,1657875181,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
1,1657875182,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
2,1657875183,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
3,1657875184,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
4,1657875185,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
5,1657875186,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
6,1657875187,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
7,1657875188,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
8,1657875189,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
9,1657875190,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
10,1657875191,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
11,1657875192,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
12,1657875193,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
13,1657875194,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
14,1657875195,T5,-80,-72,-95,-83,-82,-95,-110,-110,-110,-91,-110,-110
0,1657875274,T6,-86,-71,-96,-79,-79,-95,-88,-110,-110,-94,-110,-110
1,1657875275,T6,-86,-71,-96,-79,-79,-95,-88,-110,-110,-94,-110,-110
2,1657875276,T6,-86,-71,-96,-79,-79,-95,-88,-110,-110,-94,-110,-110
3,1657875277,T6,-86,-71,-96,-79,-79,-95,-88,-110,-110,-94,-110,-110
4,1657875278,T6,-91,-72,-110,-81,-84,-93,-80,-110,-80,-110,-110,-110
5,1657875279,T6,-91,-72,-110,-81,-84,-93,-80,-110,-80,-110,-110,-110
6,1657875280,T6,-91,-72,-110,-81,-84,-93,-80,-110,-80,-110,-110,-110
7,1657875281,T6,-91,-72,-110,-81,-84,-93,-80,-110,-80,-110,-110,-110
8,1657875282,T6,-91,-72,-110,-81,-84,-93,-80,-110,-80,-110,-110,-110
9,1657875283,T6,-91,-72,-110,-81,-84,-93,-80,-110,-80,-110,-110,-110
10,1657875284,T6,-91,-72,-110,-81,-84,-93,-80,-110,-80,-110,-110,-110
0,1657875340,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
1,1657875341,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
2,1657875342,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
3,1657875343,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
4,1657875344,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
5,1657875345,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
6,1657875346,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
7,1657875347,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
8,1657875348,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
9,1657875349,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
10,1657875350,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
11,1657875351,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
12,1657875352,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
13,1657875353,T7,-92,-66,-110,-82,-85,-110,-110,-110,-110,-110,-97,-110
