Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
0,1657875076,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875077,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875078,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875079,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875080,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875081,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875082,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875083,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875084,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875085,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
10,1657875086,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
11,1657875087,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
12,1657875111,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
13,1657875112,T1,-65,-75,-84,-89,-110,-110,-110,-110,-110,-110,-110,-110
14,1657875113,T1,-70,-110,-110,-75,-86,-110,-110,-110,-110,-110,-110,-110
15,1657875114,T1,-70,-110,-110,-75,-86,-110,-110,-110,-110,-110,-110,-110
16,1657875115,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
17,1657875116,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
18,1657875117,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
19,1657875118,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
20,1657875119,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
21,1657875120,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
22,1657875121,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
23,1657875122,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
24,1657875123,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
25,1657875129,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
26,1657875130,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
27,1657875131,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
28,1657875132,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
29,1657875133,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
30,1657875134,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
31,1657875135,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
32,1657875136,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
33,1657875137,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
34,1657875138,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
35,1657875139,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
36,1657875140,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
37,1657875141,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
38,1657875142,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
39,1657875158,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
40,1657875159,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
41,1657875160,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
42,1657875161,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
43,1657875162,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
44,1657875163,T1,-61,-110,-110,-78,-90,-81,-110,-110,-110,-110,-110,-110
45,1657875176,T1,-73,-110,-80,-70,-110,-110,-90,-110,-110,-110,-110,-110
46,1657875177,T1,-73,-110,-80,-70,-110,-110,-90,-110,-110,-110,-110,-110
47,1657875284,T1,-62,-110,-78,-75,-110,-110,-110,-77,-88,-110,-110,-110
48,1657875285,T1,-62,-110,-78,-75,-110,-110,-110,-77,-88,-110,-110,-110
49,1657875286,T1,-69,-110,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110
50,1657875287,T1,-69,-110,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110
51,1657875288,T1,-69,-110,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110
52,1657875289,T1,-69,-110,-110,-74,-110,-110,-110,-110,-110,-110,-110,-110
53,1657875290,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
54,1657875291,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
55,1657875292,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
56,1657875293,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
57,1657875294,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
58,1657875295,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
59,1657875296,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
60,1657875297,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
61,1657875298,T1,-60,-110,-75,-74,-110,-76,-110,-76,-110,-110,-110,-110
62,1657875299,T1,-67,-110,-82,-68,-88,-110,-110,-110,-110,-110,-110,-110
63,1657875300,T1,-67,-110,-82,-68,-88,-110,-110,-110,-110,-110,-110,-110
64,1657875301,T1,-67,-110,-82,-68,-88,-110,-110,-110,-110,-110,-110,-110
65,1657875302,T1,-67,-110,-82,-68,-88,-110,-110,-110,-110,-110,-110,-110
0,1657875330,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
1,1657875331,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
2,1657875332,T2,-66,-110,-85,-78,-85,-110,-110,-110,-110,-110,-110,-110
