Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13
4,1657875856,T18,-81,-93,-79,-61,-73,-77,-92,-79,-83,-110,-110,-88,-110
5,1657875857,T18,-81,-93,-79,-61,-73,-77,-92,-79,-83,-110,-110,-88,-110
6,1657875858,T18,-81,-93,-79,-61,-73,-77,-92,-79,-83,-110,-110,-88,-110
7,1657875859,T18,-81,-92,-85,-62,-73,-82,-93,-91,-83,-110,-110,-88,-110
8,1657875860,T18,-81,-92,-85,-62,-73,-82,-93,-91,-83,-110,-110,-88,-110
9,1657875861,T18,-81,-92,-85,-62,-73,-82,-93,-91,-83,-110,-110,-88,-110
10,1657875862,T18,-81,-92,-85,-62,-73,-82,-93,-91,-83,-110,-110,-88,-110
11,1657875863,T18,-81,-92,-85,-62,-73,-82,-93,-91,-83,-110,-110,-88,-110
12,1657875864,T18,-81,-92,-85,-62,-73,-82,-93,-91,-83,-110,-110,-88,-110
13,1657875865,T18,-81,-92,-85,-62,-73,-82,-93,-91,-83,-110,-110,-88,-110
14,1657875866,T18,-71,-92,-91,-60,-81,-85,-93,-91,-83,-110,-110,-88,-110
15,1657875867,T18,-71,-92,-91,-60,-81,-85,-93,-91,-83,-110,-110,-88,-110
16,1657875868,T18,-71,-92,-91,-60,-81,-85,-93,-91,-83,-110,-110,-88,-110
17,1657875869,T18,-71,-92,-91,-60,-81,-85,-93,-91,-83,-110,-110,-110,-110
18,1657875870,T18,-71,-92,-91,-60,-81,-85,-93,-91,-83,-110,-110,-110,-110
19,1657875871,T18,-71,-92,-91,-60,-81,-85,-93,-91,-83,-110,-110,-110,-110
20,1657875872,T18,-71,-92,-91,-60,-81,-85,-93,-91,-83,-110,-110,-110,-110
21,1657875873,T18,-82,-92,-91,-59,-76,-78,-93,-91,-90,-110,-110,-110,-110
22,1657875874,T18,-82,-92,-91,-59,-76,-78,-93,-91,-90,-110,-110,-110,-110
23,1657875875,T18,-82,-92,-91,-59,-76,-78,-93,-91,-90,-110,-110,-110,-110
24,1657875876,T18,-82,-92,-91,-59,-76,-78,-93,-91,-90,-110,-110,-110,-110
25,1657875877,T18,-82,-92,-91,-59,-76,-78,-93,-91,-90,-110,-110,-110,-110
26,1657875878,T18,-82,-92,-91,-59,-76,-78,-93,-91,-90,-110,-110,-110,-110
27,1657875879,T18,-75,-92,-84,-58,-76,-80,-93,-86,-90,-110,-110,-110,-110
28,1657875880,T18,-75,-92,-84,-58,-76,-80,-93,-86,-90,-110,-110,-110,-110
29,1657875881,T18,-75,-92,-84,-58,-76,-80,-93,-86,-90,-110,-110,-110,-110
30,1657875882,T18,-80,-92,-87,-72,-76,-80,-93,-86,-89,-110,-110,-110,-110
31,1657875883,T18,-80,-92,-87,-72,-76,-80,-93,-86,-89,-110,-110,-110,-110
32,1657875884,T18,-80,-92,-87,-72,-76,-80,-93,-86,-89,-110,-110,-110,-110
33,1657875885,T18,-80,-92,-87,-72,-76,-80,-93,-86,-89,-110,-110,-110,-110
34,1657875886,T18,-80,-92,-87,-72,-76,-80,-93,-86,-89,-110,-110,-110,-110
35,1657875887,T18,-80,-92,-87,-72,-76,-80,-93,-86,-89,-110,-110,-110,-110
36,1657875888,T18,-80,-92,-87,-72,-76,-80,-93,-86,-89,-110,-110,-110,-110
37,1657875889,T18,-80,-92,-87,-72,-76,-80,-93,-86,-89,-110,-110,-110,-110
