Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,bc:22:28:40:8a:bc,e0:89:9d:ff:04:00,e0:89:9d:ff:04:01,10:62:eb:18:c4:b5,e0:89:9d:ff:04:0e,e0:89:9d:ff:04:0f,a6:0a:f7:eb:d2:bd,c0:5b:02:1d:00:65,36:e3:62:9c:0a:38,da:cc:e0:68:09:8c,90:8d:78:5d:7c:08,da:81:11:df:26:35
1,1657875687,T8,-69,-110,-110,-110,-110,-77,-110,-110,-110,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875688,T8,-60,-110,-110,-77,-110,-77,-110,-110,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875689,T8,-60,-110,-110,-77,-110,-77,-110,-110,-110,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875690,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875691,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875692,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875693,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875694,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875695,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
10,1657875696,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
11,1657875697,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
12,1657875698,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
13,1657875699,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
14,1657875700,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
15,1657875701,T8,-63,-110,-80,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875723,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875724,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875725,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875726,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875727,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875728,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875729,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875730,T9,-61,-110,-83,-73,-110,-110,-110,-110,-110,-110,-89,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875731,T9,-67,-74,-110,-77,-86,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875732,T9,-67,-74,-110,-77,-86,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875761,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875762,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875763,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875764,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875765,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875766,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875767,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875768,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875769,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875770,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
10,1657875771,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
11,1657875772,T10,-65,-78,-110,-79,-110,-84,-110,-110,-87,-110,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875806,T11,-59,-110,-79,-110,-86,-110,-110,-73,-88,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875807,T11,-59,-110,-79,-110,-86,-110,-110,-73,-88,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875808,T11,-74,-110,-77,-82,-110,-77,-110,-76,-87,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875809,T11,-74,-110,-77,-82,-110,-77,-110,-76,-87,-110,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875810,T11,-65,-78,-75,-78,-85,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875811,T11,-65,-78,-75,-78,-85,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875812,T11,-65,-78,-75,-78,-85,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875813,T11,-65,-78,-75,-78,-85,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875848,T12,-64,-76,-110,-79,-80,-85,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875849,T12,-64,-76,-110,-79,-80,-85,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875850,T12,-64,-76,-110,-79,-80,-85,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875851,T12,-64,-76,-110,-79,-80,-85,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875852,T12,-62,-110,-81,-65,-110,-110,-110,-79,-110,-110,-110,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875853,T12,-62,-110,-81,-65,-110,-110,-110,-79,-110,-110,-110,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875854,T12,-62,-110,-81,-65,-110,-110,-110,-79,-110,-110,-110,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875855,T12,-62,-110,-81,-65,-110,-110,-110,-79,-110,-110,-110,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875903,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875904,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875905,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875906,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875907,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875908,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875909,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875910,T13,-63,-78,-110,-79,-110,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875929,T14,-110,-110,-73,-74,-88,-74,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875930,T14,-110,-110,-73,-74,-88,-74,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875931,T14,-58,-79,-110,-71,-90,-82,-110,-79,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875932,T14,-58,-79,-110,-71,-90,-82,-110,-79,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875933,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875934,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875935,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875936,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875937,T14,-60,-110,-110,-72,-110,-78,-110,-75,-110,-110,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875962,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875963,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875964,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875965,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875966,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875967,T15,-58,-110,-76,-74,-85,-110,-110,-110,-110,-110,-110,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875993,T16,-63,-78,-110,-75,-89,-83,-88,-110,-110,-110,-110,-80,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875994,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875995,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875996,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875997,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875998,T16,-110,-72,-110,-78,-110,-81,-90,-110,-110,-110,-110,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657876034,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657876035,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657876036,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657876037,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657876038,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657876039,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657876040,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657876041,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657876042,T17,-61,-110,-82,-110,-110,-110,-110,-73,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657876063,T18,-66,-78,-110,-77,-110,-81,-88,-77,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657876064,T18,-66,-78,-110,-77,-110,-81,-88,-77,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657876065,T18,-70,-110,-85,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657876066,T18,-70,-110,-85,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657876067,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657876068,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657876069,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657876070,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657876071,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657876072,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
10,1657876073,T18,-65,-110,-110,-78,-110,-84,-110,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
11,1657876074,T18,-66,-79,-110,-82,-88,-110,-83,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657874971,T1,-76,-63,-100,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657874972,T1,-76,-63,-100,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657874973,T1,-76,-63,-100,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657874975,T1,-80,-64,-94,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657874976,T1,-80,-64,-94,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657874977,T1,-80,-64,-94,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657874978,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657874979,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657874980,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657874981,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
10,1657874982,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
11,1657874983,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
12,1657874984,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
13,1657874985,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
14,1657874986,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
15,1657874987,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
16,1657874988,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
17,1657874989,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
18,1657874990,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875045,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875046,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875047,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875048,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875049,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875050,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875051,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875052,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875053,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875054,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
10,1657875055,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
11,1657875056,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
12,1657875057,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
13,1657875058,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
14,1657875059,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
15,1657875060,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
16,1657875061,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
17,1657875062,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
18,1657875063,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
19,1657875064,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
20,1657875065,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
21,1657875066,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
22,1657875067,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
23,1657875068,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
24,1657875069,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875095,T3,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657875096,T3,-76,-67,-110,-110,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657875097,T3,-76,-67,-110,-110,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657875098,T3,-76,-67,-110,-110,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
4,1657875099,T3,-76,-67,-110,-110,-110,-110,-110,-94,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
5,1657875100,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
6,1657875101,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
7,1657875102,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
8,1657875103,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
9,1657875104,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
10,1657875105,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
11,1657875106,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
12,1657875107,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
13,1657875108,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
