Sl. No,Timestamp,Cell id,bc:22:28:40:8a:bc,e0:89:9d:ff:04:00,e0:89:9d:ff:04:01,10:62:eb:18:c4:b5,e0:89:9d:ff:04:0e,e0:89:9d:ff:04:0f,a6:0a:f7:eb:d2:bd,c0:5b:02:1d:00:65,36:e3:62:9c:0a:38,da:cc:e0:68:09:8c,90:8d:78:5d:7c:08,da:81:11:df:26:35
12,1657875294,T6,-60,-78,-81,-84,-110,-110,-110,-110,-110,-110,-110,-110
0,1657875329,T7,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
1,1657875330,T7,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
2,1657875331,T7,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
3,1657875332,T7,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
4,1657875333,T7,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
5,1657875334,T7,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
6,1657875335,T7,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
0,1657875362,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
1,1657875363,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
2,1657875364,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
3,1657875365,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
4,1657875366,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
5,1657875367,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
6,1657875368,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
7,1657875369,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
8,1657875370,T8,-59,-83,-83,-87,-89,-88,-110,-110,-110,-110,-110,-110
0,1657875394,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
1,1657875395,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
2,1657875396,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
3,1657875397,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
4,1657875398,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
5,1657875399,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
6,1657875400,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
7,1657875401,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
8,1657875402,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
9,1657875403,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
10,1657875404,T9,-60,-78,-110,-81,-79,-80,-110,-110,-74,-110,-110,-110
0,1657875432,T10,-64,-110,-82,-86,-86,-87,-110,-110,-110,-87,-110,-110
1,1657875433,T10,-64,-110,-82,-86,-86,-87,-110,-110,-110,-87,-110,-110
2,1657875435,T10,-64,-110,-82,-86,-86,-87,-110,-110,-110,-87,-110,-110
3,1657875436,T10,-64,-110,-82,-86,-86,-87,-110,-110,-110,-87,-110,-110
4,1657875437,T10,-64,-110,-82,-86,-86,-87,-110,-110,-110,-87,-110,-110
5,1657875438,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
6,1657875439,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
7,1657875440,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
8,1657875441,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
9,1657875442,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
10,1657875444,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
11,1657875445,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
12,1657875446,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
13,1657875447,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
14,1657875448,T10,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
0,1657875480,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
1,1657875481,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
2,1657875482,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
3,1657875483,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
4,1657875484,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
5,1657875485,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
6,1657875486,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
7,1657875487,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
8,1657875488,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
9,1657875489,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
10,1657875490,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
11,1657875491,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
12,1657875492,T11,-73,-80,-110,-84,-90,-110,-86,-110,-110,-110,-89,-110
0,1657875520,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
1,1657875521,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
2,1657875522,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
3,1657875523,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
4,1657875524,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
5,1657875525,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
6,1657875526,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
7,1657875527,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
8,1657875528,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
9,1657875529,T12,-70,-82,-110,-89,-110,-90,-88,-110,-110,-110,-110,-110
10,1657875530,T12,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
11,1657875531,T12,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
12,1657875532,T12,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
13,1657875533,T12,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
14,1657875534,T12,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
0,1657875571,T13,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
1,1657875572,T13,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
2,1657875573,T13,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
3,1657875574,T13,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
4,1657875575,T13,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
5,1657875576,T13,-64,-83,-80,-85,-110,-110,-90,-110,-110,-110,-87,-110
6,1657875577,T13,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
7,1657875578,T13,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
8,1657875579,T13,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
9,1657875580,T13,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
0,1657875610,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
1,1657875611,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
2,1657875612,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
3,1657875613,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
4,1657875614,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
5,1657875615,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
6,1657875616,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
7,1657875617,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
8,1657875618,T14,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
0,1657875647,T15,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
1,1657875648,T15,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
2,1657875649,T15,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
3,1657875650,T15,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
4,1657875651,T15,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
5,1657875652,T15,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
6,1657875653,T15,-72,-84,-82,-74,-88,-88,-89,-110,-110,-110,-110,-110
7,1657875654,T15,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
8,1657875655,T15,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
9,1657875656,T15,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
10,1657875657,T15,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
0,1657875684,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
1,1657875685,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
2,1657875686,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
3,1657875687,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
4,1657875688,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
5,1657875689,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
6,1657875690,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
7,1657875691,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
8,1657875692,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
9,1657875693,T16,-65,-80,-78,-87,-81,-81,-86,-110,-110,-110,-110,-110
0,1657875720,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
1,1657875721,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
2,1657875722,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
3,1657875723,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
4,1657875724,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
5,1657875725,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
6,1657875726,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
7,1657875727,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
8,1657875728,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
9,1657875729,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
10,1657875730,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
11,1657875731,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
12,1657875732,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
13,1657875733,T17,-61,-84,-82,-85,-86,-88,-88,-110,-110,-110,-110,-110
0,1657875763,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
1,1657875764,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
2,1657875765,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
3,1657875766,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
4,1657875767,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
5,1657875768,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
6,1657875769,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
7,1657875770,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
8,1657875771,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
9,1657875772,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
10,1657875773,T18,-65,-86,-83,-84,-90,-110,-110,-110,-110,-110,-110,-110
11,1657875774,T18,-68,-88,-84,-85,-110,-110,-110,-110,-110,-110,-110,-87
12,1657875775,T18,-68,-88,-84,-85,-110,-110,-110,-110,-110,-110,-110,-87
13,1657875776,T18,-68,-88,-84,-85,-110,-110,-110,-110,-110,-110,-110,-87
